cdu_sim, csu_sim, afd_sim, linke_sim, gruene_sim, spd_sim, words_count,average_word_length,case_ratio,screen_name_length,is_retweet,has_link,hashtags_count,mentions_count,party
0.00170456387674,0.00198988485553,0.0,0.00170863057251,0.00114657076196,0.000675463273265,1,4.0,0.25,11,0,0,0,0,UNBEKANNT
0.117248442972,0.0977391152445,0.113943211602,0.10722174109,0.116783638867,0.117386247836,13,6.92307692308,0.211111111111,11,0,0,1,0,CDU
0.0683853742873,0.0517334644516,0.0434177241172,0.0560889313221,0.0640500558211,0.0691945936705,9,8.44444444444,0.0789473684211,7,0,0,1,0,SPD
0.158670420473,0.136344682178,0.116020271871,0.153154442658,0.157834690434,0.150641052545,17,5.64705882353,0.0625,15,0,0,4,0,SPD
0.0522171444577,0.0528448200852,0.0608794942132,0.0505474636238,0.0638096589091,0.0621843845838,9,8.0,0.0972222222222,8,0,0,0,0,GRUENE
0.209573558239,0.230379359573,0.222980868327,0.204793099134,0.235834934231,0.238246638252,14,7.0,0.102040816327,8,0,0,1,0,GRUENE
0.141715271023,0.137639208894,0.135861100088,0.12759271949,0.165426190666,0.16833481769,16,6.4375,0.0776699029126,13,0,0,1,0,GRUENE
0.23451213088,0.231824830979,0.157002890742,0.229567739049,0.191956174438,0.222579114533,11,7.63636363636,0.0714285714286,15,0,0,0,0,CDU
0.121216618235,0.100166302837,0.124585240818,0.106963176004,0.121562371603,0.121518109031,10,6.7,0.119402985075,11,1,0,0,0,CDU
0.203142536846,0.19679357687,0.146013263627,0.209521541738,0.195170794473,0.193189467424,15,5.33333333333,0.1875,13,1,0,2,0,GRUENE
0.0588290197508,0.0521057056568,0.0259908183628,0.0581482164191,0.0543081679314,0.0518681495572,8,7.25,0.0689655172414,13,0,0,0,0,DIE LINKE
0.041384052967,0.0407719313011,0.0474364527005,0.0439890732477,0.0468539415885,0.0392629107985,7,6.42857142857,0.111111111111,13,1,0,0,0,DIE LINKE
0.112790035931,0.0944429670399,0.0880895351428,0.100545848744,0.0899074746517,0.0931136391881,16,5.625,0.0777777777778,8,0,0,0,0,CDU
0.0647674527453,0.0552708955405,0.0714378974065,0.0619925287579,0.0746675117532,0.0651521153433,10,5.1,0.0196078431373,8,0,0,0,0,GRUENE
0.0859455427877,0.0860602999303,0.104636935133,0.0883004038692,0.0886837974894,0.0911309180591,5,3.6,0.0555555555556,15,0,0,0,0,DIE LINKE
0.161167990629,0.161397736648,0.110261022299,0.152024779143,0.142646037639,0.160678944212,14,8.0,0.0446428571429,14,0,0,1,0,GRUENE
0.0622628034215,0.0499670914378,0.0516138101647,0.0455339838839,0.0518533952366,0.0545755907935,6,4.16666666667,0.04,13,0,0,0,0,CDU
0.136989310777,0.128169068507,0.0855370194223,0.117978754053,0.109073503504,0.123759449093,5,6.6,0.0909090909091,11,1,0,1,0,CDU
0.0725520314914,0.0685536345333,0.0620346432761,0.0783561370712,0.0645142104248,0.0656149878655,10,4.4,0.0909090909091,13,0,0,0,0,CDU
0.226450430459,0.240747203906,0.22929514172,0.251535796765,0.225347773024,0.214735756324,16,5.9375,0.0736842105263,11,0,0,2,0,GRUENE
0.0100603166834,0.00439153677894,0.00935896576564,0.00704583252395,0.00496287051165,0.00984244984091,12,7.08333333333,0.129411764706,10,1,0,0,0,SPD
0.168485573887,0.157505817403,0.159657602999,0.154036074611,0.174127977457,0.169100042252,17,5.11764705882,0.0574712643678,10,0,0,0,0,SPD
0.122599646447,0.13439678628,0.138796148348,0.139581260728,0.126236475455,0.127051325878,6,6.66666666667,0.05,4,1,0,1,0,GRUENE
0.248596161988,0.268404804448,0.240628579225,0.26553144432,0.256300618568,0.251218858385,13,6.46153846154,0.047619047619,9,1,0,0,0,UNBEKANNT
0.0288245819466,0.0283168423825,0.0256632495985,0.0288039234832,0.0327430149953,0.0284773070702,12,6.0,0.138888888889,10,1,0,1,0,CDU
0.115867189063,0.084540805452,0.0776685330855,0.0917734495026,0.103274222282,0.106209457034,16,5.75,0.0434782608696,4,1,0,1,0,GRUENE
0.193083842188,0.177167434321,0.131012151167,0.181632909157,0.167662120868,0.180351457038,11,5.63636363636,0.0806451612903,10,1,0,0,0,CDU
0.157881487275,0.157169691433,0.111568671225,0.163883783781,0.134402211301,0.149656770874,10,8.7,0.0804597701149,10,0,0,3,0,GRUENE
0.112441488987,0.105853108043,0.08599189277,0.112887821539,0.0978713769197,0.112564876503,14,6.57142857143,0.0869565217391,13,1,0,1,0,DIE LINKE
0.116635488503,0.115937177068,0.111630513085,0.117550908027,0.118478508614,0.119061255988,15,6.4,0.208333333333,15,0,0,4,0,AfD
