words_count,average_word_length,case_ratio,screen_name_length,is_retweet,has_link,hashtags_count,mentions_count
0.0203914738086,0.00998729274098,0.00708747046708,0.0174713309858,0.0,0.0,0.0,0.0,CSU
0.0120495072506,0.0121127935038,0.00847670886429,0.0163065755867,0.0,0.0,0.00868351358806,0.0,CSU
0.0092688517312,0.0190424381594,0.00467305745082,0.0163065755867,0.0,0.0,0.0173670271761,0.0,CSU
0.0148301627699,0.0100705201805,0.00552270426006,0.00815328779336,0.0180775381516,0.0,0.0,0.0,CSU
0.0139032775968,0.00976535290227,0.0106312057006,0.0116475539905,0.0,0.0,0.0260505407642,0.0,CSU
0.0222452441549,0.00862097560904,0.00967695082737,0.0116475539905,0.0180775381516,0.0,0.0,0.0,CSU
0.00278065551936,0.0128170256842,0.00578569017721,0.00931804319241,0.0,0.0,0.0,0.0,CSU
0.00556131103872,0.0134273602406,0.0082840563901,0.00931804319241,0.0,0.0,0.0,0.0,CSU
0.0101957369043,0.0138157549583,0.00731924660972,0.0163065755867,0.0180775381516,0.0,0.0,0.0,CSU
0.00092688517312,0.0219720440301,0.0202499156203,0.00815328779336,0.0,0.0,0.0,0.0,CSU
0.0139032775968,0.0120846242166,0.00613633806674,0.0163065755867,0.0180775381516,0.0,0.00868351358806,0.0,CSU
0.0148301627699,0.011329335203,0.0147272113602,0.00815328779336,0.0180775381516,0.0,0.0,0.0,CSU
0.0166839331162,0.00986707532835,0.00751543260133,0.00931804319241,0.0,0.0,0.0,0.0,CSU
0.0120495072506,0.0121127935038,0.009889493675,0.0139770647886,0.0180775381516,0.0,0.0173670271761,0.0,CSU
0.00741508138496,0.0125881502256,0.00883632681611,0.00931804319241,0.0180775381516,0.0,0.0,0.0,CSU
0.0092688517312,0.0119015238497,0.011215337882,0.00815328779336,0.0,0.0,0.0,0.0,CSU
0.00741508138496,0.0123592747669,0.0112499531224,0.00815328779336,0.0,0.0,0.0,0.0,CSU
0.00648819621184,0.00967816225136,0.0197026206035,0.0174713309858,0.0,0.0,0.0173670271761,0.0,CSU
0.0120495072506,0.00985925052635,0.010414242319,0.00931804319241,0.0180775381516,0.0,0.0,0.0,CSU
0.0101957369043,0.0119847512892,0.0134999437468,0.0163065755867,0.0,0.0,0.0173670271761,0.0,CSU
0.00834196655808,0.0128170256842,0.0134999437468,0.0163065755867,0.0,0.0,0.0,0.0,CSU
0.015757047943,0.0100166671314,0.0130644616904,0.0139770647886,0.0,0.0,0.0260505407642,0.0,CSU
0.00648819621184,0.012032309826,0.0079238800253,0.0128123093896,0.0,0.0,0.0173670271761,0.0,CSU
0.0139032775968,0.00866675070077,0.00513378142485,0.00931804319241,0.0,0.0,0.0,0.0,CSU
0.0101957369043,0.00998729274098,0.0101249578101,0.00815328779336,0.0180775381516,0.0,0.0,0.0,CSU
0.0101957369043,0.00982083786196,0.0102965672645,0.00815328779336,0.0,0.0,0.0,0.0,CSU
0.0092688517312,0.0102536205474,0.00867853526582,0.00931804319241,0.0180775381516,0.0,0.0347340543522,0.0,CSU
0.0101957369043,0.010320202499,0.00783867701429,0.00815328779336,0.0,0.0,0.0,0.0,CSU
